window_end_draw_id,max_z,min_z,mc_max_z_q975,mc_min_z_q025,source_dataset_version,analysis_version,through_draw,override_ref
00100,1.953759676,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00101,1.953759676,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,1.953759676,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00103,1.953759676,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,1.953759676,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00105,1.953759676,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00106,1.953759676,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00107,1.953759676,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00108,2.27452619,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00109,2.27452619,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00110,2.27452619,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00111,2.27452619,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00112,2.595292704,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00113,2.595292704,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00114,2.27452619,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00115,2.27452619,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00116,2.27452619,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00117,2.27452619,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00118,2.27452619,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00119,2.27452619,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00120,2.27452619,-1.895438491,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00121,2.27452619,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00122,2.27452619,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00123,2.27452619,-1.253905464,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00124,2.27452619,-1.253905464,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00125,2.595292704,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00126,2.916059218,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00127,2.916059218,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00128,2.595292704,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00129,2.27452619,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00130,2.27452619,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00131,2.27452619,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00132,2.27452619,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00133,2.27452619,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00134,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00135,2.27452619,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00136,2.27452619,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00137,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00138,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00139,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00140,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00141,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00142,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00143,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00144,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00145,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00146,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00147,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00148,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00149,1.632993162,-1.253905464,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00150,1.632993162,-1.253905464,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00151,1.632993162,-1.253905464,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00152,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00153,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00154,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00155,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00156,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00157,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00158,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00159,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00160,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00161,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00162,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00163,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00164,1.953759676,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00165,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00166,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00167,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00168,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00169,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00170,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00171,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
00172,1.632993162,-1.574671978,3.557592245,-2.857738033,ds_cbdf3834368e,ds_16b6be697acb,01190,
