window_end_draw_id,max_z,min_z,mc_max_z_q975,mc_min_z_q025,source_dataset_version,analysis_version,through_draw,override_ref
00050,2.969229956,-2.474358297,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00051,2.969229956,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00052,2.969229956,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00053,2.969229956,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00054,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00055,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00056,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00057,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00058,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00059,2.515597601,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00060,2.515597601,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00061,2.515597601,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00062,2.061965247,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00063,2.061965247,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00064,2.061965247,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00065,2.061965247,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00066,2.061965247,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00067,2.061965247,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00068,2.515597601,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00069,2.969229956,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00070,2.969229956,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00071,3.42286231,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00072,3.42286231,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00073,3.42286231,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00074,3.42286231,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00075,3.42286231,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00076,3.42286231,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00077,3.42286231,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00078,2.969229956,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00079,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00080,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00081,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00082,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00083,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00084,2.061965247,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00085,2.061965247,-2.474358297,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00086,2.515597601,-2.474358297,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00087,2.515597601,-2.474358297,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00088,2.061965247,-2.474358297,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00089,2.515597601,-2.474358297,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00090,2.061965247,-2.474358297,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00091,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00092,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00093,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00094,2.515597601,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00095,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00096,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00097,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00098,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00099,2.515597601,-2.020725942,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,2.515597601,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00101,2.515597601,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00102,2.515597601,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00103,2.515597601,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00104,2.969229956,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00105,2.969229956,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00106,3.42286231,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00107,3.42286231,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00108,2.969229956,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00109,2.969229956,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00110,2.969229956,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00111,2.969229956,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00112,2.969229956,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00113,2.515597601,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
00114,2.061965247,-1.567093588,3.876494665,-2.474358297,ds_cbdf3834368e,ds_16b6be697acb,01190,
