draw_id,draw_date,n1,n2,n3,n4,n5,n6,sum,min,max,range,odd_count,even_count,low_count,high_count,gap_1,gap_2,gap_3,gap_4,gap_5,consecutive_pairs,max_gap,min_gap,source_dataset_version,analysis_version,through_draw,override_ref
00032,2017-10-12,5,8,11,31,37,42,134,5,42,37,4,2,3,3,3,3,20,6,5,0,20,3,ds_cbdf3834368e,ds_16b6be697acb,01190,
00033,2017-10-14,14,18,29,35,44,49,189,14,49,35,3,3,2,4,4,11,6,9,5,0,11,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00034,2017-10-17,1,26,36,40,50,54,207,1,54,53,1,5,2,4,25,10,4,10,4,0,25,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00035,2017-10-19,6,15,17,24,40,45,147,6,45,39,3,3,4,2,9,2,7,16,5,0,16,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00036,2017-10-21,4,9,13,16,18,49,109,4,49,45,3,3,5,1,5,4,3,2,31,0,31,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00037,2017-10-24,1,2,9,13,32,35,92,1,35,34,4,2,4,2,1,7,4,19,3,1,19,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00038,2017-10-26,2,10,15,30,34,50,141,2,50,48,1,5,3,3,8,5,15,4,16,0,16,4,ds_cbdf3834368e,ds_16b6be697acb,01190,
00039,2017-10-28,13,18,35,36,41,48,191,13,48,35,3,3,2,4,5,17,1,5,7,1,17,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00040,2017-10-31,7,13,24,45,47,52,188,7,52,45,4,2,3,3,6,11,21,2,5,0,21,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00041,2017-11-02,3,9,12,21,51,52,148,3,52,49,4,2,4,2,6,3,9,30,1,1,30,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00042,2017-11-04,2,8,12,44,46,52,164,2,52,50,0,6,3,3,6,4,32,2,6,0,32,2,ds_cbdf3834368e,ds_16b6be697acb,01190,
00043,2017-11-07,19,32,36,37,42,54,220,19,54,35,2,4,1,5,13,4,1,5,12,1,13,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00044,2017-11-09,2,3,6,23,34,36,104,2,36,34,2,4,4,2,1,3,17,11,2,1,17,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
00045,2017-11-11,12,26,33,35,36,44,186,12,44,32,2,4,2,4,14,7,2,1,8,1,14,1,ds_cbdf3834368e,ds_16b6be697acb,01190,
