period_type,period,partial,number,count,n_draws,expected,null_lo,null_hi,z,source_dataset_version,analysis_version,through_draw,override_ref
quarter,2017-Q3,True,44,4,27,2.945454545,0,6,0.6509871954,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,45,2,27,2.945454545,0,6,-0.5836436924,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,46,3,27,2.945454545,0,6,0.03367175149,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,47,3,27,2.945454545,0,6,0.03367175149,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,48,1,27,2.945454545,0,6,-1.200959136,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,49,1,27,2.945454545,0,6,-1.200959136,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,50,1,27,2.945454545,0,6,-1.200959136,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,51,7,27,2.945454545,0,6,2.502933527,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,52,1,27,2.945454545,0,6,-1.200959136,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,53,2,27,2.945454545,0,6,-0.5836436924,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,54,2,27,2.945454545,0,6,-0.5836436924,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q3,True,55,0,27,2.945454545,0,6,-1.81827458,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,1,5,39,4.254545455,1,8,0.3828934067,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,2,8,39,4.254545455,1,8,1.923805897,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,3,6,39,4.254545455,1,8,0.8965309035,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,4,1,39,4.254545455,1,8,-1.67165658,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,5,5,39,4.254545455,1,8,0.3828934067,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,6,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,7,5,39,4.254545455,1,8,0.3828934067,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,8,6,39,4.254545455,1,8,0.8965309035,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,9,7,39,4.254545455,1,8,1.4101684,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,10,1,39,4.254545455,1,8,-1.67165658,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,11,4,39,4.254545455,1,8,-0.1307440901,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,12,5,39,4.254545455,1,8,0.3828934067,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,13,7,39,4.254545455,1,8,1.4101684,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,14,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,15,2,39,4.254545455,1,8,-1.158019084,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,16,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,17,1,39,4.254545455,1,8,-1.67165658,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,18,6,39,4.254545455,1,8,0.8965309035,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,19,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,20,2,39,4.254545455,1,8,-1.158019084,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,21,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,22,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,23,4,39,4.254545455,1,8,-0.1307440901,ds_cbdf3834368e,ds_16b6be697acb,01190,
quarter,2017-Q4,False,24,3,39,4.254545455,1,8,-0.6443815869,ds_cbdf3834368e,ds_16b6be697acb,01190,
