window_end_draw_id,max_z,min_z,mc_max_z_q975,mc_min_z_q025,source_dataset_version,analysis_version,through_draw,override_ref
00200,1.855768722,-1.546473935,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00201,1.855768722,-1.546473935,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00202,1.855768722,-1.546473935,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00203,1.855768722,-1.546473935,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00204,1.628952545,-1.773290113,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00205,1.628952545,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00206,1.628952545,-2.00010629,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00207,1.855768722,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00208,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00209,2.0825849,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00210,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00211,2.536217254,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00212,2.536217254,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00213,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00214,2.309401077,-2.226922467,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00215,2.309401077,-2.453738644,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00216,2.309401077,-2.453738644,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00217,2.309401077,-2.453738644,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00218,2.309401077,-2.453738644,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00219,2.309401077,-2.453738644,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
00220,2.309401077,-2.453738644,3.67029814,-2.907370998,ds_cbdf3834368e,ds_16b6be697acb,01190,
