window_end_draw_id,number,count,expected,null_lo,null_hi,z,source_dataset_version,analysis_version,through_draw,override_ref
00100,1,15,10.90909091,5,17,1.312226648,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,2,13,10.90909091,5,17,0.67069362,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,3,10,10.90909091,5,17,-0.2916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,4,10,10.90909091,5,17,-0.2916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,5,11,10.90909091,5,17,0.02916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,6,7,10.90909091,5,17,-1.253905464,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,7,15,10.90909091,5,17,1.312226648,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,8,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,9,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,10,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,11,13,10.90909091,5,17,0.67069362,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,12,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,13,10,10.90909091,5,17,-0.2916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,14,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,15,10,10.90909091,5,17,-0.2916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,16,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,17,6,10.90909091,5,17,-1.574671978,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,18,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,19,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,20,10,10.90909091,5,17,-0.2916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,21,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,22,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,23,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,24,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,25,10,10.90909091,5,17,-0.2916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,26,12,10.90909091,5,17,0.3499271061,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,27,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,28,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,29,9,10.90909091,5,17,-0.6123724357,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,30,8,10.90909091,5,17,-0.9331389496,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,31,11,10.90909091,5,17,0.02916059218,ds_cbdf3834368e,ds_16b6be697acb,01190,
00100,32,14,10.90909091,5,17,0.991460134,ds_cbdf3834368e,ds_16b6be697acb,01190,
