cell,observed,expected,abs_z,R,null,p_raw,p_holm,interpretation,source_dataset_version,analysis_version,through_draw
0,670,652.2988961,0.6930698877,10000,FRESH,0.3065693431,0.6662333767,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
1,421,434.8659307,0.6649229661,10000,FRESH,0.4193580642,0.6662333767,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
2,83,94.53607189,1.186476601,10000,FRESH,0.2220777922,0.6662333767,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
>=3,16,8.299101318,2.673165677,10000,FRESH,0.0102989701,0.04119588041,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
