number,count,n,p_null,p_raw,wilson_lo,wilson_hi,p_holm,interpretation,source_dataset_version,analysis_version,through_draw
1,26,1190,0.01818181818,0.3279077076,0.01495317585,0.03182142598,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
2,22,1190,0.01818181818,0.9133511325,0.01224009102,0.02783345352,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
3,23,1190,0.01818181818,0.7441053148,0.01291314887,0.02883565999,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
4,19,1190,0.01818181818,0.6639223319,0.01024507064,0.02480268095,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
5,22,1190,0.01818181818,0.9133511325,0.01224009102,0.02783345352,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
6,11,1190,0.01818181818,0.01662800608,0.005169288696,0.01647634833,0.9145403343,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
7,19,1190,0.01818181818,0.6639223319,0.01024507064,0.02480268095,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
8,21,1190,0.01818181818,1,0.01157087969,0.02682740053,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
9,30,1190,0.01818181818,0.08100233998,0.01771517945,0.03576047965,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
10,20,1190,0.01818181818,0.8280880633,0.01090577555,0.02581724036,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
11,19,1190,0.01818181818,0.6639223319,0.01024507064,0.02480268095,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
12,21,1190,0.01818181818,1,0.01157087969,0.02682740053,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
13,17,1190,0.01818181818,0.3840958851,0.008938218399,0.02275900454,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
14,29,1190,0.01818181818,0.1268326806,0.01702063815,0.03477975664,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
15,26,1190,0.01818181818,0.3279077076,0.01495317585,0.03182142598,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
16,25,1190,0.01818181818,0.4464568527,0.01426989196,0.03082944554,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
17,16,1190,0.01818181818,0.2761623178,0.00829286934,0.02172908928,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
18,18,1190,0.01818181818,0.5142641904,0.009589093966,0.0237833933,1,parent not rejected; not interpreted,ds_aa8808303afa,ds_16b6be697acb,01190
