refresh_id,started_at,finished_at,exit_code,overall_status,official_run_id,official_status,official_new_draws,mirror_run_id,mirror_status,reconcile_status,curate_action,dataset_version_before,dataset_version_after,report_json,report_sha256,message
20260924T050212Z_9ceb4f,2026-09-24T05:02:12.046486+00:00,2026-09-24T05:02:20.898026+00:00,0,PASS,20260924T050212Z_85fdba,success,0,20260924T050219Z_4ce417,partial,PASS,unchanged,ds_cbdf3834368e,ds_cbdf3834368e,C:\Users\Admin\Downloads\vietlott\reports\data_quality_2026-09-24.json,8e04eea1c62b5bdb292e20e29910e277dd06a66df896a263bd8f46dc66d7f01f,
20260925T022949Z_1464c0,2026-09-25T02:29:49.613890+00:00,2026-09-25T02:29:53.643617+00:00,0,PASS,20260925T022949Z_4bf63c,success,1,20260925T022951Z_bc9ed3,partial,PASS,rebuilt,ds_cbdf3834368e,ds_aa8808303afa,C:\Users\Admin\Downloads\vietlott\reports\data_quality_2026-09-25.json,09f9f029eefb8df56977798fb8d83c897a656ad9b20e5a88c572ac89e278e43d,
