period,config,bin,n,p_mean,y_mean,p_min,p_max,experiment_id,analysis_version,source_dataset_version,code_version,spec_sha256
dev_pooled,B2_W100,1,2835,0.07328244275,0.0962962963,0.07328244275,0.07328244275,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W100,2,3084,0.08244274809,0.1112191958,0.08244274809,0.08244274809,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W100,3,3996,0.09160305344,0.1073573574,0.09160305344,0.09160305344,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W100,4,4473,0.1007633588,0.1180415828,0.1007633588,0.1007633588,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W100,5,4884,0.1099236641,0.1089271089,0.1099236641,0.1099236641,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W100,6,4700,0.1190839695,0.1065957447,0.1190839695,0.1190839695,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W100,7,6240,0.1319920728,0.1059294872,0.1282442748,0.1374045802,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W100,8,4854,0.1585465045,0.1116604862,0.1465648855,0.2106870229,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W200,0,2686,0.07034794552,0.1139240506,0.04780876494,0.0764940239,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W200,1,3539,0.08397402197,0.1110483187,0.0812749004,0.08605577689,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W200,2,2553,0.09083665339,0.1167254211,0.09083665339,0.09083665339,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W200,3,3259,0.09561752988,0.09788278613,0.09561752988,0.09561752988,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W200,4,6677,0.1028407562,0.1096300734,0.1003984064,0.1051792829,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W200,5,3376,0.1099601594,0.105450237,0.1099601594,0.1099601594,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W200,6,2801,0.1147410359,0.1042484827,0.1147410359,0.1147410359,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W200,7,4899,0.1217420581,0.1087977138,0.1195219124,0.1243027888,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W200,8,3959,0.1311836765,0.1156857792,0.1290836653,0.1338645418,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
dev_pooled,B2_W200,9,4201,0.1464614287,0.1078314687,0.1386454183,0.1721115538,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B0,1,11550,0.1090909091,0.1090909091,0.1090909091,0.1090909091,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
validation,B1,0,1154,0.09474671197,0.09618717504,0.08868279959,0.09742201966,EXP-001,ds_16b6be697acb,ds_aa8808303afa,1465af7161a9053ca7df7d4d04572789911a5480,e41f63ef47ea066f14e5effb41bf9f4b7ebd8d79641604b69a10323837e09474
